objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
2.37569E+18,2110,53467,163,GALAXY,AGN,0.1682744,1.57E-05,148.3301,11.5401,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2110/spec-2110-53467-0163.fits
2.029E+18,1802,53885,450,QSO,AGN BROADLINE,0.157224,2.12E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1802/spec-1802-53885-0450.fits
2.029E+18,1802,53885,459,GALAXY,AGN,0.1511852,1.51E-05,88.87106,9.426495,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1802/spec-1802-53885-0459.fits
2.029E+18,1802,53885,464,GALAXY,AGN,0.08103392,1.08E-05,102.4928,13.17978,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1802/spec-1802-53885-0464.fits
2.029E+18,1802,53885,465,GALAXY,AGN,0.07728018,1.25E-05,143.9207,6.892871,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1802/spec-1802-53885-0465.fits
2.029E+18,1802,53885,477,GALAXY,AGN BROADLINE,0.3073399,3.98E-05,222.8382,20.52463,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1802/spec-1802-53885-0477.fits
2.02901E+18,1802,53885,486,GALAXY,AGN,0.06975453,1.62E-05,134.8186,5.844284,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1802/spec-1802-53885-0486.fits
5.83118E+18,5179,55957,540,GALAXY,AGN,0.2776528,5.17E-05,194.3402,17.15701,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5179/spec-5179-55957-0540.fits
6.46297E+17,574,52355,112,GALAXY,AGN BROADLINE,0.161416,1.21E-05,215.3186,12.97185,
6.15882E+18,5470,56008,542,QSO,AGN BROADLINE,0.3302179,5.15E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5470/spec-5470-56008-0542.fits
9.93113E+17,882,52370,252,GALAXY,AGN,0.1275472,2.00E-05,97.72516,8.185669,
9.93115E+17,882,52370,258,GALAXY,AGN,0.07123934,1.46E-05,138.6816,6.103181,
9.93118E+17,882,52370,269,GALAXY,AGN BROADLINE,0.0837186,1.56E-05,213.1207,7.522273,
