objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
2.38703E+18,2120,53852,448,GALAXY,STARBURST,0.03731905,7.04E-06,16.94481,21.7798,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2120/spec-2120-53852-0448.fits
2.38703E+18,2120,53852,459,GALAXY,STARBURST,0.03676874,7.73E-06,62.63136,13.76424,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2120/spec-2120-53852-0459.fits
1.6968E+18,1507,53763,267,GALAXY,STARBURST,0.1039615,1.38E-05,0,42.39991,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1507/spec-1507-53763-0267.fits
1.69681E+18,1507,53763,269,GALAXY,STARBURST,0.2774016,2.69E-05,211.0781,31.44517,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1507/spec-1507-53763-0269.fits
1.69681E+18,1507,53763,285,GALAXY,STARBURST,0.1444319,6.43E-06,70.15722,31.52442,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1507/spec-1507-53763-0285.fits
1.69682E+18,1507,53763,309,GALAXY,STARBURST,0.0787977,5.79E-06,95.21902,36.98001,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1507/spec-1507-53763-0309.fits
1.69683E+18,1507,53763,361,GALAXY,STARBURST,0.02299949,6.00E-06,0,17.72316,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1507/spec-1507-53763-0361.fits
1.69683E+18,1507,53763,366,GALAXY,STARBURST,0.0830685,7.72E-06,158.7963,60.38811,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1507/spec-1507-53763-0366.fits
1.69683E+18,1507,53763,375,GALAXY,STARBURST,0.09091005,8.04E-06,850,-3,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1507/spec-1507-53763-0375.fits
1.69684E+18,1507,53763,383,GALAXY,STARBURST,0.04235502,8.81E-06,0,46.76644,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1507/spec-1507-53763-0383.fits
1.30978E+19,11633,58463,892,GALAXY,STARBURST,0.3350392,1.20E-05,583,130.6395,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11633/spec-11633-58463-0892.fits
2.37576E+18,2110,53467,409,GALAXY,STARBURST,0.05053286,7.22E-06,52.63411,17.54749,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2110/spec-2110-53467-0409.fits
2.37577E+18,2110,53467,431,GALAXY,STARBURST,0.02375719,6.94E-06,13.25393,29.66143,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2110/spec-2110-53467-0431.fits
1.03248E+19,9170,58048,1000,GALAXY,STARBURST,0.05904507,1.73E-05,51.05807,37.12157,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/9170/spec-9170-58048-1000.fits
1.03256E+19,9171,58068,10,GALAXY,STARBURST,0.01657831,1.03E-05,57.24683,43.03159,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/9171/spec-9171-58068-0010.fits
6.46336E+17,574,52355,253,GALAXY,STARBURST,0.06926323,6.79E-06,70.57668,13.70114,
1.20699E+19,10720,58250,876,GALAXY,STARBURST,0.3190735,2.55E-05,122.1972,67.03133,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/10720/spec-10720-58250-0876.fits
9.82821E+18,8729,57399,842,GALAXY,STARBURST,0.003423213,6.78E-06,0,37.66009,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/8729/spec-8729-57399-0842.fits
